Nama_Tempat,Rating_Rata,Jumlah_Review,Lokasi,Photo_URL,Gmaps_Link,Waktu_Buka,Price_Items,Harga_Minimum,Facilities,Facilities_List
Camp Ground Puncak Ungaran,4.625,8,"Kab. Semarang, Jawa Tengah",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg0lFByz5IrgTdtftV35sdj3S2ljKeJJH3JnhB9ziTpS_aFC5QJMlWjZIaYWghZvo2LXcgM4KCrWFC4snrnBBXqAVIKtIbdrFuLJaN5i3UwadMJwOKmtNuDvp_JWHbpzUOZ-XfvXHmQEtI/s1600/gunung+ungaran+1.jpg,https://maps.app.goo.gl/mTXEUH8AVeVtYEj26,Check In - Out : 12.00 - 11.12,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",20000.0,Tempat Parkir,"[""Tempat Parkir""]"
Campground Sekipan,4.46613545816733,502,"Karanganyar, Jawa Tengah",https://asset-2.tribunnews.com/solo/foto/bank/images/bumi-sekipan-di-kecamatan-tawangmangu-kabupaten-karangany.jpg,https://maps.app.goo.gl/W1twPYz2aSSaFRZKA,Check In - Out : 12.00 - 11.03,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",20000.0,Tempat Parkir,"[""Tempat Parkir""]"
Campgrounds Kedungrejo,4.267857142857143,112,"Kulon Progo, DIY",,,,,,,
Campgrounds Kleresede,4.275862068965517,87,"Sleman, DIY",,,,,,,
Camping Ground Bukit Klangon,4.727272727272728,110,"Sleman, DIY",https://asset.kompas.com/crops/J84_AorpiqhSZBC3ECMGyaMwo_U=/0x61:960x541/1200x800/data/photo/2020/11/06/5fa4bcec5d9a9.jpg,https://maps.app.goo.gl/d6q9x7d2t2DtwrwW7,Check In - Out : 12.00 - 11.03,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""},{""item"":""Parkir (Motor)"",""harga"":3000,""kategori"":""biaya wajib""},{""item"":""Parkir (Mobil)"",""harga"":5000,""kategori"":""biaya wajib""},{""item"":""Tenda 4P + Pasang"",""harga"":70000,""kategori"":""layanan""},{""item"":""Matras"",""harga"":5000,""kategori"":""sewa pokok""},{""item"":""Sleeping Bag"",""harga"":12000,""kategori"":""sewa pokok""},{""item"":""Cooking Set"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Lampu Tenda"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Flysheet 3x4"",""harga"":13000,""kategori"":""sewa mewah""},{""item"":""Kompor + Gas"",""harga"":40000,""kategori"":""sewa pokok""},{""item"":""Kursi Lipat"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Meja Lipat"",""harga"":15000,""kategori"":""sewa pokok""}]",145000.0,Tempat Parkir,"[""Tempat Parkir""]"
Camping Ground Bukit Ngisis,4.9,10,"Kulon Progo, DIY","https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1080,h_652/w_66,x_12,y_12,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/exhxsfxmetcmumlfua5x/TiketPuncak9BukitNgisisdiKulonProgo.webp",https://maps.app.goo.gl/K7EZNho4gP7cpV6o7,Check In - Out : 12.00 - 11.06,"[{""item"":""Premium Pack 2 Orang (Tenda Dome, Matras, Sleeping Bag, Breakfast & Fasilitas)"",""harga"":250000,""kategori"":""layanan""},{""item"":""Premium Pack 4 Orang (Tenda Dome, Matras, Sleeping Bag, Breakfast & Fasilitas)"",""harga"":400000,""kategori"":""layanan""},{""item"":""Medium Pack 2 Orang (Tenda Dome, Matras & Fasilitas)"",""harga"":150000,""kategori"":""layanan""},{""item"":""Medium Pack 4 Orang (Tenda Dome, Matras & Fasilitas)"",""harga"":250000,""kategori"":""layanan""},{""item"":""Reguler Pack (Sewa tempat, Peralatan sendiri, Include fasilitas)"",""harga"":30000,""kategori"":""biaya wajib""},{""item"":""Sleeping Bag"",""harga"":30000,""kategori"":""sewa pokok""},{""item"":""Cooking Set"",""harga"":75000,""kategori"":""sewa pokok""},{""item"":""Kayu Bakar"",""harga"":10000,""kategori"":""sewa pokok""},{""item"":""Alat BBQ"",""harga"":75000,""kategori"":""sewa mewah""}]",145000.0,Kamar Mandi Umum | Listrik | Air Bersih | Wi-Fi | Note : Harga hari libur bisa berubah,"[""Kamar Mandi Umum"", ""Listrik"", ""Air Bersih"", ""Wi-Fi"", ""Note : Harga hari libur bisa berubah""]"
Camping Ground Kampung Sakinah,5.0,10,"Karanganyar, Jawa Tengah",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxH-LykoTtEpVVkV-5yedaiA0lJU66imKtiM2yonKdm3RxLS6sCebpkuJBlDTkjnmo8mWtluxAKKAbiKV8L6XnXkJdjUAOBxI3dwVluX6N604cMOpMxirPmks0twUzXX2tUKThMmNf-2x0v=w408-h306-k-no,https://maps.app.goo.gl/frNTikrQB5F7UcfQ6,Cek Gmaps,[],,,
Camping Ground Karimunjawa,4.888888888888889,9,"Jepara, Jawa Tengah",https://www.thehappinezzhills.com/wp-content/uploads/2023/12/Karimunjawa-Camping.webp,https://maps.app.goo.gl/uAxaVbmkPWd6XjBf8,Check In - Out : 12.00 - 11.06,"[{""item"":""Paket Camping Ground One Day (2 Pax)"",""harga"":1450000,""kategori"":""layanan""},{""item"":""Paket Camping Ground One Day (4 Pax)"",""harga"":1190000,""kategori"":""layanan""},{""item"":""Paket Camping Ground One Day (6 Pax)"",""harga"":990000,""kategori"":""layanan""},{""item"":""Paket Camping Ground One Day (8 Pax)"",""harga"":924000,""kategori"":""layanan""},{""item"":""Paket Camping Ground One Day (10 Pax)"",""harga"":890000,""kategori"":""layanan""}]",0.0,Transportasi Kapal Wisata | Tenda dan Peralatan Tidur | Eksplorasi Pulau | Snorkling | Pemandu Lokal | Makan 3 Kali Sehari | BBQ Malam di Pantai | Dokumentasi | Speargun Tradisional,"[""Transportasi Kapal Wisata"", ""Tenda dan Peralatan Tidur"", ""Eksplorasi Pulau"", ""Snorkling"", ""Pemandu Lokal"", ""Makan 3 Kali Sehari"", ""BBQ Malam di Pantai"", ""Dokumentasi"", ""Speargun Tradisional""]"
Camping Ground Laguna Pantai Glagah,4.625,24,"Kulon Progo, DIY",,,,,,,
Camping Ground Pantai Menganti,4.322368421052632,152,"Kebumen, Jawa Tengah",https://thumbs.tvonenews.com/thumbnail/2022/10/17/634cb76ee338b-lokasi-camping-ground-di-pantai-menganti-saat-weekend-minggu-16102022_1265_711.jpg,https://maps.app.goo.gl/Kc5Sk5TTEBTS3Z4F8,Check In - Out : 12.00 - 11.15,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",20000.0,Tempat Parkir,"[""Tempat Parkir""]"
