Doc_ID,Nama_Tempat,Lokasi,Rating,Teks_Mentah
58,Lor Sambi Camping Ground,"Sleman, DIY",5.0,"Camping ground nya nyaman,bisa untuk campervan juga. Camping nyaman di pinggir sungai, bikin anak anak betah. Ada ruangan kosong yang bisa dijadikan aula bila camping bersama keluarga besar atau rombongan. Listrik dan sinyal aman. Aliran sungai tidak deras dan sungainya dangkal, jd bisa tenang melepas anak2 bermain air di sungai. Untuk yang gak punya perlengkapan camping, bisa hubungi pengelola untuk sewa perlengkapannya, jadi cuma bekal baju dan makanan saja dr rumah. Di malam hari ada cafenya juga. Kl siang hari lumayan panas, disarankan tetap membawa kipas angin, tp di malam hari sejuk dan gak terlalu dingin. Kamar mandi bersih dan airnya banyak. Ada ruang yg bisa jadi musholla. Akses jalannya saja yg menuju camping ground kecil, hanya cukup untuk 1 mobil saja, kalo berpapasan dengan mobil lain harus mengalah. Sabar sedikit lah ya"
59,Lor Sambi Camping Ground,"Sleman, DIY",5.0,"Lokasi camping yang nyaman di kaki gunung merapi dan tepat di sepanjang kali kuning. Fasilitas cukup lengkap ada toilet, lampu, listrik, dan persewaan alat camp beserta kasur yg empuk. Lokasi cukup sejuk dan nyaman untuk anak-anak bisa bermain air, trekking di sekitar lokasi. Area camping cukup luas dan parkiran kendaraan yang luas. Cocok untuk keluarga Lokasi yang indah untuk piknik dan camping.dan anak-anak lebih dekat ke alam."
60,Lor Sambi Camping Ground,"Sleman, DIY",5.0,"Camping pinggir sungai aman bgt buat maen sama anak2.... pemandangan bagus, sejuk ..sewa lahan murah...toilet jg bersih..cm tanahnya yg pinggir sungai byk batu jdi pasaknya bengok"
61,Waduk Sermo,"Kulon Progo, DIY",5.0,"Jalan berkelok-kelok saat malam hari dan minim penerangan tapi terbalaskan dengan pemandangan sunrise. Bisa coba mancing dan naik perahu, tapi untuk naik perahu gak tau bayar berapa."
62,Waduk Sermo,"Kulon Progo, DIY",5.0,"Waduk Sermo adalah tempat yang sangat cocok untuk camping maupun kegiatan foto-foto, termasuk prewedding. Disana ada persewan kapal juga untuk prewed, jika foto dengan kapal tersebut sangat bagus sekali. Suasananya tenang dengan pemandangan yang indah, terutama saat pagi hari sebelum matahari terbit cahaya lembut dan kabut tipis membuat suasana terasa sangat magis. Area sekitar waduk juga cukup luas dan rapi, sehingga nyaman untuk sekadar piknik atau aktivitas outdoor lainnya. Wajib dikunjungi bagi pecinta alam dan fotografi!"
63,Waduk Sermo,"Kulon Progo, DIY",5.0,"Masih dalam rangka nostalgia hidup di Jogja. Ini salah satu rekomendasi tempat camping yang ga terlalu jauh dari pusat kota Jogja. Pertama kali camping disini sama teman-teman dan dadakan wkwk. Untuk tiket masuknya cukup murah. Bisa bawa tenda sendiri ataupun sewa di tempat. Ada banyak spot atau area camping ground, tinggal pilih aja sesuai selera hihi. Kalau weekend biasanya ramai. Jadi usahakan untuk datang lebih awal supaya dapat tempat yg cocok. Fasilitas seperti toilet dan mushola juga ada. Biasanya ada warung juga, cocok buat yg ga bawa banyak perbekalan."
64,Waduk Sermo,"Kulon Progo, DIY",5.0,"Camping di bambu air. Untuk fasilitas listrik oke. Tapi untuk kamar mandi kadang airnya mati, kebersihanya juga kurang. Mungkin bisa ditambahkan jalur air di area camping untuk berwudhu dan cuci"". Tapi untuk harga camping terjangkau sekali."
65,Waduk Sermo,"Kulon Progo, DIY",5.0,"Ke waduk sermo sekitar jam 4 sore sampai sunset cuacanya bagus banget. Cerah, berawan, dan bisa lihat bulan. Air waduknya bersih dan terawat. Waduknya luas banget kalo misalkan diputerin bisa sekitar lebih dari 30 menit mungkin ya naik motor. Btw beberapa jalannya disekitar waduk banyak yang rusak dan beberapa juga dalam masa perbaikan. Semoga nantinya semua jalan disekitar waduk udah bagus aspalnya. Banyak titik buat camp atau piknik bisa pilih aja lokasinya mau yang sebelah mana. Kalo pulang sekitar jam 6 sore hati hati karena beberapa jalan minim penerangan dan sepi. Kalo tipe yang takut jangan sendirian ya."
66,Waduk Sermo,"Kulon Progo, DIY",4.0,Iseng jalan2 niatnya ke pantai di sekitar Kulon Progo. Malah ketemu plang waduk Sermo. Belok deh ke waduk dulu. Anginnya syahdu. Mau ke tempat camping sdh kesiangan. Jadi cuma foto2 sebentar sambil makan kacang rebus lanjut pindah ke pantai glagah indah.
67,Waduk Sermo,"Kulon Progo, DIY",5.0,"18 okto 25 kesini emang the best view-nya, tapi berbayar 2 kali dari dinas pariwisata 15k dan desa setempat 15k buat ngecamp, 5k buat sunset, tergantung spot mana yg ingin buat nyantai"
